Total documents,482
Search Query,Document Containing Term(df),Total documents(N)/number of  documents  term  appeared (df),Log10(N/df)
Canada,117,482/117,0.61
University,101,482/101,0.68
Halifax,35,482/35,1.14
Canada Education,0,NAN,NAN
Dalhousie University,5,482/5,1.98
